learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,vote for class 0,vote for class 1,training queue size,recall0 Validation,recall1 Validation,time stamp,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
34.0,34.0,42.50729322702293,-0.6860298095717022,-65.01738178545122,-77.69544599896862,11.0,23.0,71.62191420596139,28.354603037528015,28.37808579403861,71.645396962472,75.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,8.0,0.0,0.0,1.305899488E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,35.0,41.073910565338295,-6.256565930701655,-75.03381339585789,-70.13111727886073,12.0,23.0,65.31800773788858,28.354603037528015,34.68199226211141,71.645396962472,76.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,9.0,0.0,0.0,1.305899582E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,36.0,39.72095605587466,-11.417255072551132,-85.1514210831373,-63.85179536490413,13.0,23.0,59.985010244176806,28.354603037528015,40.01498975582319,71.645396962472,77.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,10.0,0.0,0.0,1.305901812E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37.0,37.0,38.44190794336036,-16.150723709568666,-95.371226827864,-58.55592169199315,14.0,23.0,55.41486954926727,28.354603037528015,44.58513045073273,71.645396962472,78.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.305933768E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38.0,38.0,40.381078934310885,-12.847897630302255,-77.09014701202562,-58.55592169199315,14.0,24.0,55.41486954926727,31.697491030022867,44.58513045073273,68.30250896997715,78.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.30618386E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39.0,39.0,42.21963156731477,-9.885361951130225,-77.09014701202558,-58.55592169199307,14.0,25.0,55.41486954926727,34.77170684056442,44.58513045073273,65.22829315943561,78.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.306255516E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,40.0,43.96511310638303,-7.213231261506654,-77.09014701202564,-58.55592169199313,14.0,26.0,55.41486954926727,37.608251695373006,44.58513045073273,62.391748304627015,78.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.306325472E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41.0,41.0,45.62433451873793,-4.7909165073229465,-77.0901470120256,-58.555921691993106,14.0,27.0,55.41486954926727,40.23353406924273,44.58513045073273,59.76646593075729,78.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.306432428E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,42.0,47.2034581291313,-2.5850558657758413,-77.0901470120256,-58.55592169199313,14.0,28.0,55.41486954926727,42.670189819683884,44.58513045073273,57.32981018031615,78.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.306453931E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43.0,43.0,48.70807304332618,-0.5679747076324854,-77.09014701202562,-58.55592169199313,14.0,29.0,55.41486954926727,44.937732638137916,44.58513045073273,55.062267361862126,78.0,0.0,20.0,0.49954247974270666,0.5004575202572932,0.0,1.0,11.0,0.0,0.0,1.306515126E9,144.90000000000003,41.33674292671682,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
